question_id,question,answer,expected_doc_id,rank,score,retrieved_doc_id,chunk_id,answer_in_chunk,retrieved_text
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,1,0.882089,doc_0001,doc_0001_chunk_000,O,"한국청소년단체협의회와 여성가족부는 22일부터 28일까지 서울과 충북 괴산에서 '국제청소년포럼'을 연다고 21일 밝혔다. 한국 미국 캐나다 호주 등 전 세계 32개국 75여명의 대학생, 청소년들이 모여 전 세계적 현안문제에 대한 대안과 해결책을 모색하는 자리다. 이번 포럼의 주제는 '청소년과 뉴미디어'다. 스마트폰 SNS 태블릿PC 등 새로운 커뮤니케이션 매체인 '뉴미디어'에 대한 성찰과 문제점에 대해 토론한다. 기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다. 개회식은 22일 서울 방화동에 있는 국제청소년센터 국제회의장에서 한다. 전 세계 32개국 대학생ㆍ청소년 참가자와 전국의 청소년기관단체장과 청소년지도자 여성가족부 주한외교사절 등 100여명이 참석할 예정이다. 23일에는 유엔미래포럼 박영숙 대표가 '뉴미디어의 균형 있는 발전을 위한 청소년의 역할'에 대해 기조강연을 한다. 뉴미디어의 올바른 활용방안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택한다. 선언문에는 전 세계적으로 뉴미디어의 바람직한 발전을 촉구하며 각국 청년들이 함께 실천할 수 있는 내용 등이 담길 예정이다. 한국청소년단체협의회는 포럼이 끝난 뒤 UN 등 국제기구와 참가자 각국 정부 등 국제사회에 선언문을 전달할 예정이다."
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,2,0.827981,doc_0149,doc_0149_chunk_000,X,"경북 영덕과 전북 김제에 특성화된 청소련수련시설이 들어선다. 여성가족부는 18일 국립영덕청소년해양환경체험센터와 국립김제농업생명청소년수련원 착공식을 가졌다고 밝혔다. 영덕청소년해양환경체험센터는 영덕군 영덕읍 창포리 일원 5만여㎡ 부지에 들어선다. 여성가족부는 내년 말까지 326억원을 투입해 해양자원탐사 조선·항해 해양환경연구 등 다양한 과정을 체험할 수 있도록 할 계획이다. 김제농업생명청소년수련원은 김제시 부량면 용성리에 역시 내년 말까지 건립 예정이다. 253억원을 투입, 3만8000여㎡ 부지에 농업생명공학 농업과학 농업생태환경 등 체험시설을 짓게 된다. 두 특성화 시설은 푸른청소년수련시설이 임대형 민자사업으로 건립한다. 민간투자자가 건립, 20~30년간 시설관리 청소 경비 등을 맡고 여성가족부는 매년 임대료를 지급하는 형태다. 두개 시설이 완공되면 국립청소년수련시설은 모두 5개로 늘어난다. 여성가족부는 현재 강원 평창과 충남 천안, 전남 고흥에 평창청소년수련원 중앙청소년수련원 고흥청소년우주체험센터를 운영 중이다. 백희영 장관은 ""두곳 특성화 수련시설을 통해 청소년들이 해양환경과 농업생명의 소중함을 인식하고 미래 해양자원 개발과 농업기술에 대한 전망을 제시할 수 있을 것""이라고 기대했다."
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,3,0.813704,doc_0168,doc_0168_chunk_000,X,"“태권도 기술·정신 함께 담아낼 터” “우리 프로젝트의 근본은 태권도 정신이다. 요새처럼 컴퓨터 게임의 버튼 하나로 적을 죽일 수 있는 시대에 태권도 정신의 의미는 크다고 생각한다. 정정당당히 겨뤄 승부를 내는 것을 말한다. 이런 게임문화에 익숙한 서유럽쪽에 한국의 태권도 정신을 느끼게 하는 작품을 만들겠다.” 경기도 문화의전당이 기획·제작해 오는 5월 말 서울에서 첫선을 보이는 태권도 소재 넌버벌 퍼포먼스 〈달밤의 기사〉(가제)의 연출을 맡은 키르키스탄 출신의 세계적인 연출가 빅토르 크라메르(43)가 28일 기자회견에서 “태권도의 화려한 기술적인 면 뿐만 아니라 태권도 고유의 정신적인 면을 잘 조화시키겠다”고 밝혔다. 빅토르 크라메르는 〈슬라바 프로닌의 스노우쇼〉와 〈판타지아-바람을 기다리는 여섯 사람〉 등의 작품으로 영국 ‘로렌스 올리비에 기념 최고연극상’, 에딘버러 페스티벌의 ‘에딘버러 프린지 퍼스트’, 러시아 민족상 ‘황금마스크’ 연출상 등을 수상하고 세계의 이름난 페스티벌과 연극제에 초청된 세계적인 연출가이다. 그는 “태권도는 동양적인 것에 매우 관심이 많은 유럽인들도 흥미를 가질 수 있는 소재”라면서 “서양과 동양의 양문화의 매개체가 될 수 있는 공연을 만들 수 있을 것 같다는 확신이 들었다”고 말했다. 그는 태권도를 이해하기 위해 지난해 12월부터 두 차례 한국을 방문하면서 한국의 구석구석을 보아왔고 많은 태권도 관련 테"
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,4,0.810087,doc_0074,doc_0074_chunk_000,X,"이해찬 국무총리가 26일, 총리취임 이후 처음으로 대구·경북을 찾았다. 이 총리는 이날 대구전시컨벤션센터에서 지역기자들과 간담회를 가진 자리에서 “공공기관 이전이 신행정수도 위헌 결정과 연계돼 늦어지고 있다”며 “2월말께 신행정수도(도시) 특별법이 만들어지면 곧 이어 3월 중에 공공기관 이전을 확정 발표하겠다”고 밝혔다. 그는 또 “180개 정도의 공공기관을 지역 균형발전 원칙에 따라 합리적으로 중복되지 않도록 각 지역에 배정할 것”이라며 “지역 특성과 지방 세입에 미치는 영향분석 등 종합적 판단을 거칠 것”이라고 밝혔다. -최근 대구경북 지역 인구가 줄고 대규모 국책사업이 배정되지 않는 등 차별 조짐이 보이는데. =지역차별은 전혀 없다. 최근 국가사업 중 가장 큰 것이 18조가 투입돼 지난해 4월 개통된 경부고속철도 사업인데 최대 수혜도시가 대구다. 또 안동 임하탬 탁도 개선 사업에 2700억을 투입하기로 최근 결정했다. 인구감소는 부산을 비롯해 수도권을 제외한 전국 공통의 문제로 이를 개선하기 위해 행정도시 건설, 공공기관 이전을 추진하고 있다. -경북도가 낙후된 동해안 개발을 위해 총리실 산하 동해안 개발기획단 설치를 건의했는데. =경북지역 동해안만 아니라 울산·강원지역과 연계해야 하는 사업이어서 설치를 적극 검토하겠다. -대구·경북지역 경제회생을 위한 지원 방안은. =경제력의 50%가 수도권에 집중돼있고 나머지를 13개 시도가"
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,5,0.8098,doc_0125,doc_0125_chunk_000,X,"""전통시장을 살리고 청년 일자리를 늘리기 위해서 가겟세 등을 지원해주는 이른바 &청년점포& 사업이 전국적으로 시행되고 있는데요, 이렇게 지원을 받고도 정작 제대로 운영하지 않는 곳이 적지 않아서 사업 취지가 퇴색되고 있습니다. 조혜진 기자가 보도합니다. [리포트] 불이 꺼진 채 문이 굳게 닫힌 상점. 인근 수제 잼을 판매하는 상점도 마찬가집니다. 전통시장 활성화를 위해 경북 안동시가 지원해 문을 연 &청년점포&들입니다.지난해 총 10곳이 선정돼 1년 동안 임차료를 전액 지원받았고 내년까지는 임대료를 올리지 않기로 했습니다. 초기 시설 비용 등도 일부 지원 받았습니다. 하지만 평일 오후 10개 상점 가운데 문을 연 곳은 세 곳에 불과합니다. [주변 상인 : 장사에 신경을 못 쓰는 집이 있어요. 장사가 워낙 안되니깐 문 닫아 놓고...] 지원을 받아 개업해놓고도 개인 사정 등을 이유로 일찍 문을 닫거나 영업일을 줄인 겁니다.[윤하식/중앙신시장상인회 회장 : 문을 닫고 있으면 옆에 상가들도 많은 피해를 보지 않습니까. 지자체나 도에서나 여러모로 사후 관리...(가 필요합니다.)] 제대로 영업을 하지 않아도 아무런 규정이 없어 규제할 방법은 없습니다.[조명희/안동시 일자리경제과장 : 청년 창업이다 보니깐 조금 문제점이 있고 (추가) 운영을 하면서 문제가 계속되면 우리 기관에서도...(대책을 마련할 계획입니다.)] 애초 사업 취지가 무색한 실"
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,1,0.885137,doc_0001,doc_0001_chunk_000,O,"한국청소년단체협의회와 여성가족부는 22일부터 28일까지 서울과 충북 괴산에서 '국제청소년포럼'을 연다고 21일 밝혔다. 한국 미국 캐나다 호주 등 전 세계 32개국 75여명의 대학생, 청소년들이 모여 전 세계적 현안문제에 대한 대안과 해결책을 모색하는 자리다. 이번 포럼의 주제는 '청소년과 뉴미디어'다. 스마트폰 SNS 태블릿PC 등 새로운 커뮤니케이션 매체인 '뉴미디어'에 대한 성찰과 문제점에 대해 토론한다. 기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다. 개회식은 22일 서울 방화동에 있는 국제청소년센터 국제회의장에서 한다. 전 세계 32개국 대학생ㆍ청소년 참가자와 전국의 청소년기관단체장과 청소년지도자 여성가족부 주한외교사절 등 100여명이 참석할 예정이다. 23일에는 유엔미래포럼 박영숙 대표가 '뉴미디어의 균형 있는 발전을 위한 청소년의 역할'에 대해 기조강연을 한다. 뉴미디어의 올바른 활용방안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택한다. 선언문에는 전 세계적으로 뉴미디어의 바람직한 발전을 촉구하며 각국 청년들이 함께 실천할 수 있는 내용 등이 담길 예정이다. 한국청소년단체협의회는 포럼이 끝난 뒤 UN 등 국제기구와 참가자 각국 정부 등 국제사회에 선언문을 전달할 예정이다."
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,2,0.81986,doc_0059,doc_0059_chunk_000,X,"[IMG1] 평단 왕양, 남영택 옮김 1만9000원 #케네디 대통령의 아버지인조지프 케네디는 1929년 월스트리트가 붕괴하기 직전에자신의 주식을 모두 팔아치워 위기를 피해갔다.그가 그렇게 할 수 있었던 것은 구두닦이 소년 덕분이었다. 구두닦이 소년은 ""우리도 주식에 투자하면 백만장자가 될 수 있을 거예요""라며 구두를 닦으러 온 조지프에게 흥분해서 떠들었다.경제를 잘 아는 권위자들도 마치 살얼음 위를 걷는 것처럼 투자하고, 그렇게 투자해도 손해를 보지 않고 수익을 거둘지 장담할 수 없는 주식시장. 그 시장에서 구두닦이 소년조차 주식을 안전하고 떼돈을 버는 투자처라고 생각한다면 시장은 이미 과열 단계에 접어들었고 이때야말로 주식 시장을 떠날 시기라고 그는 판단했던 것이다.'환율전쟁'이라는 책을 쓰기도 했던 이 책의 저자 왕양은 독자들에게 묻는다. ""경제 용어를 아는 것만으로 경제 흐름을 읽을 수 있을까."" 이 책에서는 '천하어면'이라는 경제게임의 주인공 겐로쿠를 등장시켜1만 관의 자본을 가지고 어떻게 해야 사업에 성공하고 투자에 성공하는지 독자가 겐로쿠가 되어 그 과정을 터득하는 스토리텔링의 방법을 통해경제를 이야기 하고 있다. 그 과정에서 우리는 각종 경제용어를 배우고 많은 실례를 통해 경제의 흐름을 자연스럽게 익힐 수 있다. 이를 통해 경제를 예측하는 안목을 기를 수 있다는 덤이 이 책의 가장 큰 특징이다 장점이다. 저자 나름의 경제"
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,3,0.818916,doc_0121,doc_0121_chunk_001,X,"리고 있어요. 우파도 자기들만의 방식으로 변화를 추구하고 있잖아요."" 이야, 정말 똑똑한 딸들이다. 드디어 아빠가 ""일반적인 대답으로 너희를 만족시킬 수 없을 것 같구나""라며 식은땀을 흘리기 시작했다. 이런 식으로 좌충우돌, 아빠는 설명하고 딸들은 질문하고 반격하면서 1시간 동안 독자들도 좀 더 깊이 좌파 이야기로 들어갈 수 있다. 책의 마지막 즈음에 딸이 하는 질문이 재미있다. ""선생님이 그러시는데 좌파와 우파 개념은 이게 과거의 것이래요. 별 차이가 없다고요."" 마치 우리나라에서도 좌파와 우파를 잘 구분하지 못하거나, 아니면 좌파와 우파를 뛰어넘자고 주장하는 흐름이 프랑스에서도 있나 보다. 이에 대한 아빠의 대답이 이 책의 결론쯤에 해당할 것 같다. 중간중간 질문이 이어진 터라 여러 개로 나뉘어 있던 아빠 베베르의 대답을 요약하면 이런 것이다. ""사회는 많이 변했단다. 좌파와 우파는 한번 정의되면 변하지 않는 고정된 실재가 아니라 변화하는 실재로, 세상이 변함에 따라 스스로 위치를 조절한단다."""
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,4,0.818402,doc_0024,doc_0024_chunk_000,X,"말도, 생각도, 행동도 하지 않아야 한다. 숨 쉬는 것 외에는 웬만하면 아무것도 하지 않아야 한다. 그래야 우승할 수 있다. 서울시는 이달 22일 오후 3시부터 6시까지 여의도한강공원 너른들판에서 ‘2018 한강 멍 때리기 대회’를 개최한다고 3일 밝혔다. 올해로 3회째인 대회는 ‘아무것도 하지 않는 것도 가치 있는 행위’라는 알리는 일종의 ‘단체 퍼포먼스’다. 할 게 넘쳐나고 급변하는 세상에서 살아가는 누군가에겐 휴식과 치료의 의미가 있다. 대회의 우승방법은 간단하다. 90분간 ‘멍 때리면’ 된다. 어떤 행동도 생각도 하지 않고 있으면 주최 측이 15분마다 참가자들의 심박 수를 측정해간다. 이를 그래프로 만드는데, 가장 안정적이거나 점진적으로 하향곡선을 나타내면 높은 점수를 받을 수 있다. 여기에 현장 시민 투표가 합산돼 1~3위를 선정한다. 선수는 대회 도중 말을 할 수 없다. 대신 빨간 카드(졸릴 때 마사지 서비스), 파랑 카드(목마를 때 물 서비스), 노랑 카드(더우면 부채질 서비스), 검정 카드(기타 불편사항) 등으로 의사를 전달하면 진행요원이 서비스를 제공한다. 또 멍 때리는 데 실패하면 경기장 밖으로 끌려나간다. 올해 대회에는 150명의 참가자를 선발한다. 이날 낮 12시부터 4일 자정까지 홈페이지(www.spaceoutcompetition.com)와 페이스북(www.facebook.com/INT.spaceout.comp"
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,5,0.818,doc_0149,doc_0149_chunk_000,X,"경북 영덕과 전북 김제에 특성화된 청소련수련시설이 들어선다. 여성가족부는 18일 국립영덕청소년해양환경체험센터와 국립김제농업생명청소년수련원 착공식을 가졌다고 밝혔다. 영덕청소년해양환경체험센터는 영덕군 영덕읍 창포리 일원 5만여㎡ 부지에 들어선다. 여성가족부는 내년 말까지 326억원을 투입해 해양자원탐사 조선·항해 해양환경연구 등 다양한 과정을 체험할 수 있도록 할 계획이다. 김제농업생명청소년수련원은 김제시 부량면 용성리에 역시 내년 말까지 건립 예정이다. 253억원을 투입, 3만8000여㎡ 부지에 농업생명공학 농업과학 농업생태환경 등 체험시설을 짓게 된다. 두 특성화 시설은 푸른청소년수련시설이 임대형 민자사업으로 건립한다. 민간투자자가 건립, 20~30년간 시설관리 청소 경비 등을 맡고 여성가족부는 매년 임대료를 지급하는 형태다. 두개 시설이 완공되면 국립청소년수련시설은 모두 5개로 늘어난다. 여성가족부는 현재 강원 평창과 충남 천안, 전남 고흥에 평창청소년수련원 중앙청소년수련원 고흥청소년우주체험센터를 운영 중이다. 백희영 장관은 ""두곳 특성화 수련시설을 통해 청소년들이 해양환경과 농업생명의 소중함을 인식하고 미래 해양자원 개발과 농업기술에 대한 전망을 제시할 수 있을 것""이라고 기대했다."
