question_id,question,answer,expected_doc_id,rank,score,retrieved_doc_id,chunk_id,answer_in_chunk,retrieved_text
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,1,0.894985,doc_0001,doc_0001_chunk_000,O,"한국청소년단체협의회와 여성가족부는 22일부터 28일까지 서울과 충북 괴산에서 '국제청소년포럼'을 연다고 21일 밝혔다. 한국 미국 캐나다 호주 등 전 세계 32개국 75여명의 대학생, 청소년들이 모여 전 세계적 현안문제에 대한 대안과 해결책을 모색하는 자리다. 이번 포럼의 주제는 '청소년과 뉴미디어'다. 스마트폰 SNS 태블릿PC 등 새로운 커뮤니케이션 매체인 '뉴미디어'에 대한 성찰과 문제점에 대해 토론한다. 기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을"
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,2,0.849115,doc_0001,doc_0001_chunk_001,X,"련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다. 개회식은 22일 서울 방화동에 있는 국제청소년센터 국제회의장에서 한다. 전 세계 32개국 대학생ㆍ청소년 참가자와 전국의 청소년기관단체장과 청소년지도자 여성가족부 주한외교사절 등 100여명이 참석할 예정이다. 23일에는 유엔미래포럼 박영숙 대표가 '뉴미디어의 균형 있는 발전을 위한 청소년의 역할'에 대해 기조강연을 한다. 뉴미디어의 올바른 활용방안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택"
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,3,0.839646,doc_0001,doc_0001_chunk_002,X,안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택한다. 선언문에는 전 세계적으로 뉴미디어의 바람직한 발전을 촉구하며 각국 청년들이 함께 실천할 수 있는 내용 등이 담길 예정이다. 한국청소년단체협의회는 포럼이 끝난 뒤 UN 등 국제기구와 참가자 각국 정부 등 국제사회에 선언문을 전달할 예정이다.
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,4,0.823132,doc_0149,doc_0149_chunk_001,X,"예정이다. 253억원을 투입, 3만8000여㎡ 부지에 농업생명공학 농업과학 농업생태환경 등 체험시설을 짓게 된다. 두 특성화 시설은 푸른청소년수련시설이 임대형 민자사업으로 건립한다. 민간투자자가 건립, 20~30년간 시설관리 청소 경비 등을 맡고 여성가족부는 매년 임대료를 지급하는 형태다. 두개 시설이 완공되면 국립청소년수련시설은 모두 5개로 늘어난다. 여성가족부는 현재 강원 평창과 충남 천안, 전남 고흥에 평창청소년수련원 중앙청소년수련원 고흥청소년우주체험센터를 운영 중이다. 백희영 장관은 ""두곳 특성화 수련시설을 통해 청소년들이"
c1_57059-1,서울과 충북 괴산에서 '국제청소년포럼'을 여는 곳은?,한국청소년단체협의회와 여성가족부,doc_0001,5,0.819336,doc_0149,doc_0149_chunk_002,X,"청소년우주체험센터를 운영 중이다. 백희영 장관은 ""두곳 특성화 수련시설을 통해 청소년들이 해양환경과 농업생명의 소중함을 인식하고 미래 해양자원 개발과 농업기술에 대한 전망을 제시할 수 있을 것""이라고 기대했다."
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,1,0.885174,doc_0001,doc_0001_chunk_000,O,"한국청소년단체협의회와 여성가족부는 22일부터 28일까지 서울과 충북 괴산에서 '국제청소년포럼'을 연다고 21일 밝혔다. 한국 미국 캐나다 호주 등 전 세계 32개국 75여명의 대학생, 청소년들이 모여 전 세계적 현안문제에 대한 대안과 해결책을 모색하는 자리다. 이번 포럼의 주제는 '청소년과 뉴미디어'다. 스마트폰 SNS 태블릿PC 등 새로운 커뮤니케이션 매체인 '뉴미디어'에 대한 성찰과 문제점에 대해 토론한다. 기조강연을 시작으로 국가별 주제관련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을"
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,2,0.879336,doc_0001,doc_0001_chunk_001,X,"련 사례발표, 그룹 토론 및 전체총회, '청소년선언문' 작성 및 채택 등 다양한 프로그램을 운영한다. 개회식은 22일 서울 방화동에 있는 국제청소년센터 국제회의장에서 한다. 전 세계 32개국 대학생ㆍ청소년 참가자와 전국의 청소년기관단체장과 청소년지도자 여성가족부 주한외교사절 등 100여명이 참석할 예정이다. 23일에는 유엔미래포럼 박영숙 대표가 '뉴미디어의 균형 있는 발전을 위한 청소년의 역할'에 대해 기조강연을 한다. 뉴미디어의 올바른 활용방안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택"
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,3,0.872241,doc_0001,doc_0001_chunk_002,X,안과 청소년문화의 형성에 대해 설명할 계획이다. 27일 폐회식에서는 '청소년선언문'을 채택한다. 선언문에는 전 세계적으로 뉴미디어의 바람직한 발전을 촉구하며 각국 청년들이 함께 실천할 수 있는 내용 등이 담길 예정이다. 한국청소년단체협의회는 포럼이 끝난 뒤 UN 등 국제기구와 참가자 각국 정부 등 국제사회에 선언문을 전달할 예정이다.
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,4,0.828184,doc_0149,doc_0149_chunk_002,X,"청소년우주체험센터를 운영 중이다. 백희영 장관은 ""두곳 특성화 수련시설을 통해 청소년들이 해양환경과 농업생명의 소중함을 인식하고 미래 해양자원 개발과 농업기술에 대한 전망을 제시할 수 있을 것""이라고 기대했다."
c1_57060-1,'국제 청소년포럼'이 열리는 때는?,22일부터 28일,doc_0001,5,0.817212,doc_0198,doc_0198_chunk_003,X,보측은 전국을 돌며 벌인 '북콘서트'가 긍정적 영향을 미칠 것으로 보고 '저녁이 있는 삶'을 알릴 기회가 삼겠다는 입장이다. 정책전문가를 자임한 정세균 후보는 이번 토론회를 '정책있는 지도자'로 알리는 계기로 만들겠다는 각오다. 2부는 사회자와 후보자가 참여하는 '주도권 토론'이 이어진다. 기존의 후보토론회 형식과 크게 다르지 않다.
