method,query_id,question_type,primary_category,primary_mclsf,gold_document_count,gold_chunk_count,retrieved_count,latency_ms,chunk_hit@1,chunk_hit@3,chunk_hit@5,chunk_hit@10,chunk_recall@5,chunk_recall@10,chunk_mrr,document_hit@1,document_hit@3,document_hit@5,document_hit@10,document_mrr
BM25,oy_eval_repair_q0007,specific_policy_search,일자리,창업,1,2,10,2.40620004478842,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0009,eligibility,일자리,취업,1,3,10,2.88019998697564,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.0,1.0,1.0,1.0,0.5
BM25,oy_eval_repair_q0012,application_period,일자리,취업,1,3,10,2.0200000144541264,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,1.0,0.14285714285714285
BM25,oy_eval_repair_q0021,application_method,일자리,창업,1,2,10,3.0622000340372324,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0024,specific_policy_search,일자리,취업,1,2,10,2.3381999926641583,0.0,0.0,1.0,1.0,0.5,0.5,0.2,0.0,0.0,1.0,1.0,0.2
BM25,oy_eval_repair_q0027,application_method,일자리,창업,1,3,10,2.439900010358542,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0030,support_content,일자리,취업,1,2,10,3.519899968523532,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0032,application_method,일자리,취업,1,2,10,2.4632999557070434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0033,application_period,일자리,창업,1,3,10,3.1010000384412706,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0034,specific_policy_search,일자리,취업,1,2,10,1.5414999797940254,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0035,support_content,일자리,창업,1,2,10,4.452600027434528,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0037,support_content,복지문화,문화활동,2,7,10,2.6889999862760305,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0038,eligibility,복지문화,건강,2,7,10,1.031799998600036,1.0,1.0,1.0,1.0,0.5714285714285714,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0039,application_method,복지문화,예술인지원,1,1,10,1.4547000173479319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0042,specific_policy_search,복지문화,건강,1,2,10,1.2023000163026154,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0043,support_content,복지문화,예술인지원,1,2,10,2.140800002962351,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0045,required_documents,복지문화,문화활동,1,2,10,1.6499000485055149,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0047,specific_policy_search,복지문화,예술인지원,1,1,10,2.431800006888807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0054,application_method,복지문화,건강,1,1,10,1.6596000059507787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0056,specific_policy_search,주거,주택 및 거주지,1,1,10,2.1430000197142363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0066,eligibility,주거,전월세 및 주거급여 지원,1,2,10,2.406500047072768,0.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
BM25,oy_eval_repair_q0072,support_content,교육,교육비지원,1,2,10,1.2428000336512923,0.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.3333333333333333
BM25,oy_eval_repair_q0073,eligibility,교육,온라인교육,1,4,10,1.908099977299571,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0074,application_method,교육,미래역량강화,1,2,10,1.0634000063873827,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0075,application_period,교육,온라인교육,1,2,10,1.332899963017553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0076,required_documents,교육,미래역량강화,1,2,10,0.8033000049181283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0077,specific_policy_search,교육,교육비지원,1,2,10,0.9637000039219856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0080,application_method,교육,교육비지원,2,4,10,1.1710000107996166,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0082,required_documents,교육,미래역량강화,1,4,10,1.0162999969907105,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0085,application_method,교육,미래역량강화,1,2,10,1.4003999531269073,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0089,application_period,참여권리,권익보호,1,1,10,2.5572999729774892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0099,application_period,참여권리,정책인프라구축,1,1,10,3.8690000073984265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_repair_q0100,required_documents,참여권리,청년국제교류,1,2,10,0.8279000176116824,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_v2r_q0002,support_content,일자리,창업,1,1,10,2.1885999594815075,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5
BM25,oy_eval_v2r_q0003,eligibility,일자리,재직자,1,2,10,1.5146000077947974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BM25,oy_eval_v2r_q0004,application_method,일자리,창업,1,2,10,1.5447000041604042,0.0,0.0,1.0,1.0,0.5,1.0,0.2,0.0,0.0,1.0,1.0,0.2
